cart_offset,length,dest,mode
0x0271e800,0x10800,0x0c6fdc60,DMA
0x0272f000,0x10800,0x0c6ed420,DMA
0x0273f800,0x10800,0x0c6dcbe0,DMA
0x02750000,0x10800,0x0c6cc3a0,DMA
0x02760800,0x10800,0x0c6bbb60,DMA
0x02771000,0x10800,0x0ca270a0,DMA
0x02781800,0x10800,0x0ca16860,DMA
0x02792000,0x10800,0x0ca06020,DMA
0x027a2800,0x10800,0x0c9f57e0,DMA
0x027b3000,0x10800,0x0c9e4fa0,DMA
0x027c3800,0x10800,0x0c9d4760,DMA
0x027d4000,0x10800,0x0c9c3f20,DMA
0x027e4800,0x10800,0x0c9b36e0,DMA
0x027f5000,0x10800,0x0c9a2ea0,DMA
0x02805800,0x10800,0x0c992660,DMA
0x02816000,0x10800,0x0c981e20,DMA
0x02826800,0x10800,0x0c9715e0,DMA
0x02837000,0x10800,0x0c960da0,DMA
0x02847800,0x10800,0x0c950560,DMA
0x02858000,0x10800,0x0c93fd20,DMA
0x02868800,0x10800,0x0c92f4e0,DMA
0x02879000,0x10800,0x0c91eca0,DMA
0x02889800,0x10800,0x0c90e460,DMA
0x0289a000,0x10800,0x0c8fdc20,DMA
0x028aa800,0x10800,0x0c8ed3e0,DMA
0x028bb000,0x10800,0x0c8dcba0,DMA
0x028cb800,0x10800,0x0c8cc360,DMA
0x028dc000,0x10800,0x0c8bbb20,DMA
0x028ec800,0x10800,0x0c8ab2e0,DMA
0x028fd000,0x10800,0x0c89aaa0,DMA
0x0290d800,0x10800,0x0c88a260,DMA
0x0291e000,0x10800,0x0c879a20,DMA
0x0292e800,0x10800,0x0c8691e0,DMA
0x0293f000,0x10800,0x0c8589a0,DMA
0x0294f800,0x10800,0x0c848160,DMA
0x02960000,0x10800,0x0c837920,DMA
0x02970800,0x10800,0x0c8270e0,DMA
0x02981000,0x10800,0x0c8168a0,DMA
0x02991800,0x10800,0x0c806060,DMA
0x029a2000,0x10800,0x0c7f5820,DMA
0x029b2800,0x10800,0x0c7e4fe0,DMA
0x029c3000,0x10800,0x0c7d47a0,DMA
0x029d3800,0x10800,0x0c7c3f60,DMA
0x029e4000,0x10800,0x0c7b3720,DMA
0x029f4800,0x10800,0x0c7a2ee0,DMA
0x02a05000,0x10800,0x0c7926a0,DMA
0x02a15800,0x10800,0x0c781e60,DMA
0x02a26000,0x10800,0x0c6ab320,DMA
0x02a36800,0x10800,0x0c69aae0,DMA
0x02a47000,0x10800,0x0c68a2a0,DMA
0x02a57800,0x10800,0x0c679a60,DMA
0x02a68000,0x10800,0x0c669220,DMA
0x02a78800,0x10800,0x0c6589e0,DMA
0x02a89000,0x10800,0x0c5c3fa0,DMA
0x02a99800,0x10800,0x0c5b3760,DMA
0x02aaa000,0x10800,0x0c6481a0,DMA
0x02aba800,0x10800,0x0c637960,DMA
0x02acb000,0x10800,0x0c627120,DMA
0x02adb800,0x10800,0x0c6168e0,DMA
0x02aec000,0x10800,0x0c6060a0,DMA
0x02afc800,0x10800,0x0c5f5860,DMA
0x02b0d000,0x10800,0x0c5e5020,DMA
0x02b1d800,0x10800,0x0c5d47e0,DMA
0x02b2e000,0x10800,0x0c521ea0,DMA
0x02b3e800,0x10800,0x0c511660,DMA
0x02b4f000,0x10800,0x0c500e20,DMA
0x02b5f800,0x10800,0x0c4f05e0,DMA
0x02b70000,0x10800,0x0c4dfda0,DMA
0x02b80800,0x10800,0x0c4cf560,DMA
0x02b91000,0x10800,0x0c4bed20,DMA
0x02ba1800,0x10800,0x0c4ae4e0,DMA
0x02bb2000,0x10800,0x0c49dca0,DMA
0x02bc2800,0x10800,0x0c48d460,DMA
0x02bd3000,0x10800,0x0c47cc20,DMA
0x02be3800,0x10800,0x0c46c3e0,DMA
0x02bf4000,0x10800,0x0c45bba0,DMA
0x02c04800,0x10800,0x0c44b360,DMA
0x02c15000,0x10800,0x0c43ab20,DMA
0x02c25800,0x10800,0x0c42a2e0,DMA
0x02c36000,0x10800,0x0c419aa0,DMA
0x02c46800,0x10800,0x0c409260,DMA
0x02c57000,0x10800,0x0c3f8a20,DMA
0x02c67800,0x10800,0x0c3e81e0,DMA
0x02c78000,0x10800,0x0c3d79a0,DMA
0x02c88800,0x10800,0x0c3c7160,DMA
